ID;SchoolCode;SchoolName
26130;E00835;FLORIDA NATIONAL UNIVERSITY - TRAINING A
26131;E00836;ANTHEM INSTITUTE
26132;E00838;MILDRED ELLEY - PITTSFIELD
26133;E00840;COLORADO TECHNICAL UNIV - DENVER
26134;E00842;CAREER TRAINING ACADEMY
26135;E00845;MARINELLO SCHOOL OF BEAUTY - WICHITA
26136;E00846;VATTEROTT COLLEGE - OKLAHOMA CITY
26137;E00862;UTAH CLG OF MASSAGE THER-PROVO CMPS
26138;E00876;NEW MEXICO STATE UNIV.-DONA ANA CLG
26139;E00882;ITT TECHNICAL INSTITUTE
26140;E00893;VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI
26141;E00896;MILLER-MOTTE BUSINESS COLLEGE
26142;E00899;VATTEROTT COLLEGE - TULSA
26143;E00902;JOHN DEWEY COLLEGE
26144;E00905;MARINELLO SCHOOL OF BEAUTY - OVERLAND PA
26145;E00906;MIDWESTERN UNIVERSITY
26146;E00907;REMINGTON COLLEGE - BATON ROUGE
26147;E00908;EVEREST INSTITUTE - MARIETTA
26148;E00911;PACIFIC COLLEGE OF ORIENTAL MEDICINE - N
26149;E00912;LINCOLN TECHNICAL INSTITUTE
26150;E00913;LINCOLN TECHNICAL INSTITUTE
26151;E00914;PLATT COLLEGE
26152;E00917;NATIONAL AMERICAN UNIVERSITY - BLOOMINGT
26153;E00920;KAPLAN UNIVERSITY - CEDAR FALLS
26154;E00922;ITT TECHNICAL INSTITUTE
26155;E00925;KAPLAN UNIVERSITY - DES MOINES
26156;E00926;KAPLAN UNIVERSITY - MASON CITY
26157;E00928;UTAH CLG OF MASSAGE THERAPY-NSMT
26158;E00931;HARRISON COLLEGE - FORT WAYNE
26159;E00933;RASMUSSEN COLLEGE - NEW PORT RICHEY
26160;E00935;HILL COLLEGE
26161;E00937;JOHN DEWEY COLLEGE-BAYAMON CAMPUS
26162;E00944;VATTEROTT COLLEGE - WICHITA
26163;E00947;UNITED EDUCATION INSTITUTE - UEI MORROW
26164;E00951;VIRGINIA COLLEGE - HUNTSVILLE
26165;E00952;VIRGINIA COLLEGE - JACKSON
26166;E00953;INTERACTIVE LEARNING SYSTEMS
26167;E00956;VATTEROTT COLLEGE - MEMPHIS
26168;E00958;UTAH COLLEGE OF MASSAGE THERAPY - ARIZON
26169;E00960;INTERACTIVE COLLEGE OF TECHNOLOGY
26170;E00961;TRINITY INTERNATIONAL UNIV-CA
26171;E00970;MILLER - MOTTE TECHNICAL COLLEGE - NORTH
26172;E00978;KAPLAN COLLEGE - BEAUMONT
26173;E00983;PACIFIC COLLEGE OF ORIENTAL MEDICINE - C
26174;E00985;OHIO CENTER FOR BROADCASTING - COLORADO
26175;E00993;BARRY UNIVERSITY - ORLANDO
26176;E00994;MIAMI DADE COLLEGE -INTERAMERICAN CAMPUS
26177;E00996;WEST VIRGINIA JUNIOR COLLEGE
26178;E01000;EVEREST COLLEGE
26179;E01001;CAREER POINT INSTITUTE
26180;E01002;COMMONWEALTH OF PR DEPT OF EDUC - TROQUE
26181;E01007;VIRGINIA COLLEGE - MOBILE
26182;E01008;VIRGINIA COLLEGE - VIRGINIA COLLEGE AT A
26183;E01009;KAPLAN COLLEGE - LAREDO
26184;E01010;BAKER COLLEGE-CASS CITY
26185;E01012;PIONEER PACIFIC COLLEGE
26186;E01015;UTAH COLLEGE OF MASSAGE THERAPY - ARIZON
26187;E01017;ITT TECHNICAL INSTITUTE
26188;E01019;MILLER - MOTTE TECHNICAL COLLEGE - CHATT
26189;E01020;CREATIVE IMAGES-A CERTIFIED MATRIX
26190;E01021;KAPLAN COLLEGE - CAREER CENTERS OF TEXAS
26191;E01023;KAPLAN COLLEGE - BROWNSVILLE
26192;E01024;BAKER COLLEGE-ALLEN PARK
26193;E01025;VATTEROTT COLLEGE - CLEVELAND
26194;E01027;KAPLAN COLLEGE - MCALLEN
26195;E01030;INTERACTIVE LEARNING SYSTEMS
26196;E01032;VANDERBILT UNIV MED CTR ALLIEDHEAL
26197;E01033;INDIANA UNIVERSITY - PURDUE UNIVERSITY I
26198;E01036;MANATEE TECHNICAL INSTITUTE-EAST
26199;E01038;COLORADO TECH UNIV - ON LINE
26200;E01048;CONNECTICUT CENTER FOR MASSAGE THERAPY -
26201;E01051;AMERICAN INTERCONTINENTAL UNIV - HOUSTON
26202;E01052;VATTEROTT COLLEGE-ST JOSEPH
26203;E01054;PCI ACADEMY - PCI ACADEMY
26204;E01057;KAPLAN COLLEGE - LUBBOCK
26205;E01061;SOUTHWEST FLORIDA COLLEGE - TAMPA
26206;E01080;STAR TECHNICAL INSTITUTE -
26207;E01091;LINCOLN TECHNICAL INSTITUTE - BROCKTON
26208;E01094;LINCOLN COLLEGE OF TECHNOLOGY - MARIETTA
26209;E01095;LINCOLN TECHNICAL INSTITUTE - LOWELL
26210;E01096;LINCOLN TECHNICAL INSTITUTE
26211;E01097;LINCOLN TECHNICAL INSTITUTE - NORTHEAST
26212;E01103;FORTIS COLLEGE - RICHMOND CAMPUS
26213;E01104;KAPLAN COLLEGE - CAREER CENTERS OF TEXAS
26214;E01108;STONE ACADEMY -WATERBURY
26215;E01111;RESEARCH MEDICAL CENTER - COLLEGE OF NUR
26216;E01113;DELAWARE AREA CAREER CENTER -
26217;E01117;INTERNATIONAL ACADEMY OF DESIGN AND TECH
26218;E01119;INTERNATIONAL ACADEMY OF DESIGN AND TECH
26219;E01120;LE CORDON BLEU COLLEGE OF CULINARY ARTS
26220;E01121;INTERNATIONAL ACADEMY OF DESIGN AND TECH
26221;E01125;SCOTTSDALE CULINARY INSTITUTE - LE CORDO
26222;E01126;WESTERN CULINARY INSTITUTE - LE CORDON B
26223;E01127;RENSSELAER POLYTECHNIC INSTITUTE-RENSSEL
26224;E01135;SANFORD-BROWN INSTITUTE - FT. LAUDERDALE
26225;E01136;SANFORD-BROWN COLLEGE - HOUSTON
26226;E01140;SANFORD-BROWN COLLEGE - SANFORD-BROWN IN
26227;E01142;SANFORD-BROWN INSTITUTE - ISELIN
26228;E01154;TWIN CITY BEAUTY COLLEGE - TRAVERSE CITY
26229;E01155;UTAH COLLEGE OF MASSAGE THERAPY - DENVER
26230;E01156;UTAH COLLEGE OF MASSAGE THERAPY - DENVER
26231;E01166;JOHN DEWEY COLLEGE - FAJARDO BRANCH
26232;E01169;VATTEROTT COLLEGE - O'FALLON
26233;E01170;VATTEROTT COLLEGE - L'ECOLE CULINAIRE
26234;E01173;REMINGTON COLLEGE - NORTH HOUSTON CAMPUS
26235;E01178;MILLER-MOTTE TECHNICAL COLLEGE - MILLER-
26236;E01180;PRYOR BEAUTY COLLEGE - GROVE BEAUTY COLL
26237;E01182;KAPLAN COLLEGE -  PALM SPRINGS
26238;E01190;KAPLAN UNIVERSITY - LEWISTON
26239;E01191;KAPLAN COLLEGE - BAKERSFIELD
26240;E01193;RASMUSSEN COLLEGE - BROOKLYN PARK
26241;E01195;TEXAS SCHOOL OF BUSINESS - FRIENDSWOOD C
26242;E01197;KAPLAN COLLEGE - FRESNO
26243;E01198;MITCHELL'S HAIR STYLING ACADEMY - MITCHE
26244;E01200;DELTA COLLEGE - SLIDELL
26245;E01208;DELTA COLLEGE OF ARTS & TECHNOLOGY - LAF
26246;E01209;HARRISON COLLEGE - NORTHWEST
26247;E01214;SAINT GREGORY'S UNIVERSITY - IPD TULSA
26248;E01216;MILLER - MOTTE TECHNICAL COLLEGE - MADIS
26249;E01222;ATI CAREER TRAINING CENTER - MIAMI
26250;E01223;VIRGINIA COLLEGE - BILOXI
26251;E01224;ART INSTITUTE OF PHOENIX (THE) - ART  IN
26252;E01225;JOHN DEWEY COLLEGE - JUANA DIAZ BRANCH
26253;E01227;BARTLESVILLE BEAUTY COLLEGE
26254;E01240;HAIR PROFESSIONALS ACADEMY OF COSMETOLOG
26255;E01244;RASMUSSEN COLLEGE - ROCKFORD
26256;E01245;ANTONELLI COLLEGE - JACKSON
26257;E01246;ANTONELLI COLLEGE - HATTIESBURG
26258;E01251;COLLEGE OF  THE MENOMINEE NATION - GREEN
26259;E01254;EAST TENNESSEE STATE UNIV - PHARMACY
26260;E01255;LINCOLN TECHNICAL INSTITUTE - WHITESTONE
26261;E01257;INTERNATIONAL ACADEMY OF DESIGN & TECH
26262;E01258;INTERNATIONAL ACADEMY OF DESIGN & TECHNO
26263;E01260;VIRGINIA COLLEGE - SCH OF BUSNSS & HLTH
26264;E01264;RASMUSSEN COLLEGE - LAKE ELMO
26265;E01265;LINCOLN TECHNICAL INSTITUTE-EUPH INST OF
26266;E01266;LINCOLN TECHNICAL INSTITUTE-EUPH INS OFB
26267;E01270;BRYAN UNIVERSITY - ROGERS
26268;E01285;KAPLAN COLLEGE -  RIVERSIDE
26269;E01294;HARRISON COLLEGE - ELKHART
26270;E01295;RASMUSSEN COLLEGE - GREEN BAY
26271;E01296;MIAMI DADE COLLEGE - HIALEAH CAMPUS
26272;E01298;ATI-CAREER TRAINING CENTER - OKLAHOMA CI
26273;E01299;ATI CAREER TRAINING CENTER - RICHARDSON
26274;E01300;SOUTH TEXAS VOCATIONAL TECHNICAL INSTITU
26275;E01301;SOUTHWEST SCHOOL OF BUSINESS AND TECHNIC
26276;E01303;BEAUTY INSTITUTE (THE) - MARGATE
26277;E01311;EVEREST COLLEGE - EVERETT
26278;E01312;EVEREST COLLEGE - TACOMA
26279;E01315;EVEREST INSTITUTE - NORCROSS
26280;E01319;EVEREST COLLEGE - CHESAPEAKE
26281;E01320;EVEREST COLLEGE
26282;E01322;EVEREST INSTITUTE - BISSONNET
26283;E01327;EVEREST COLLEGE - EVEREST INSTITUTE
26284;E01333;WYOTECH - BLAIRSVILLE
26285;E01338;EVEREST COLLEGE - ARLINGTON
26286;E01340;EVEREST INSTITUTE - HOUSTON GREENSPOINT
26287;E01341;EVEREST INSTITUTE - HOUSTON HOBBY
26288;E01342;EVEREST INSTITUTE- DEARBORN
26289;E01343;EVEREST INSTITUTE- AUSTIN
26290;E01344;EVEREST INSTITUTE - DETROIT
26291;E01345;EVEREST INSTITUTE - SOUTH PLAINFIELD
26292;E01349;EVEREST UNIVERSITY - ORLANDO SOUTH
26293;E01350;EVEREST UNIVERSITY - MELBOURNE
26294;E01352;EVEREST UNIVERSITY - ORANGE PARK
26295;E01353;EVEREST UNIVERSITY - LAKELAND
26296;E01354;EVEREST UNIVERSITY - JACKSONVILLE
26297;E01355;FLORIDA TECHNICAL COLLEGE - LAKELAND
26298;E01357;EVEREST INSTITUTE - COLUMBUS
26299;E01360;AMERITECH COLLEGE - DRAPER
26300;E01377;FLORIDA TECHNICAL COLLEGE - DELAND
26301;E01378;INSTITUTE FOR BUSINESS & TECHNOLOGY - LA
26302;E01379;HERITAGE COLLEGE-KANSAS CITY
26303;E01380;HERITAGE COLLEGE - WICHITA
26304;E01381;MARINELLO SCHOOL OF BEAUTY - WILLIMANTIC
26305;E01382;RASMUSSEN COLLEGE - MOORHEAD
26306;E01386;MEDTECH COLLEGE - GREENWOOD
26307;E01389;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26308;E01390;MEDVANCE INSTITUTE - WEST PALM
26309;E01393;FORTIS INSTITUTE - NASHVILLE
26310;E01396;ATI CAREER TRAINING CENTER - ALBUQUERQUE
26311;E01397;FLAGLER COLLEGE - TALLAHASSEE COMMUNITY
26312;E01400;ATI CAREER TRAINING CENTER - GARLAND
26313;E01401;DORSEY BUSINESS SCHOOL - FARMINGTON HILL
26314;E01403;UNIV OF DETROIT MERCY - DENTAL SCHOOL
26315;E01410;ELAINE STEVEN BEAUTY COLLEGE - ADVANCE B
26316;E01434;VIRGINIA COLLEGE - MONTGOMERY
26317;E01435;COMMONWEALTH OF PR DEPT OF EDUC - ITPR R
26318;E01445;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26319;E01446;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26320;E01451;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26321;E01452;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26322;E01459;ROSS MEDICAL EDUCATION CENTER-SAGINAW
26323;E01460;ROSS MEDICAL EDUCATION CENTER-PORT HURON
26324;E01461;ROSS MEDICAL EDUCATION CENTER-ROOSEVELT
26325;E01462;ROSS MEDICAL EDUCATION CENTER-ANN ARBOR
26326;E01463;ROSS MEDICAL EDUCATION CENTER - GRAND RA
26327;E01464;ROSS MEDICAL EDUCATION CENTER-REDFORD
26328;E01465;LE CORDON BLEU COLLEGE OF CULINARY ARTS
26329;E01466;LE CORDON BLEU COLLEGE OF CULINARY ARTS
26330;E01471;AMERICAN INSTITUTE - CLIFTON
26331;E01494;RASMUSSEN COLLEGE - FORT MYERS
26332;E01502;OAKLAND COMMUNITY COLLEGE - SOUTHFIELD C
26333;E01505;PINNACLE CAREER INSTITUTE - NORTH KANSAS
26334;E01506;MEDTECH COLLEGE - FORT WAYNE
26335;E01509;VIRGINIA COLLEGE - GREENVILLE
26336;E01510;RASMUSSEN COLLEGE - AURORA
26337;E01513;MILLER-MOTTE TECHNICAL COLLEGE - MILLER-
26338;E01596;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26339;E01597;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26340;E01598;MEDIATECH INSTITUTE - AUSTIN
26341;E01599;MEDIATECH INSTITUTE - HOUSTON
26342;E01600;FORTIS COLLEGE - FORTIS INSTITUTE
26343;E01614;DORSEY BUSINESS SCHOOL - ROSEVILLE CULIN
26344;E01617;COMPUTER CAREER CENTER - LAS CRUCES CAMP
26345;E01618;COMPUTER CAREER CENTER - AMARILLO CAMPUS
26346;E01625;STAR CAREER ACADEMY - STAR EGG HARBOR
26347;E01626;STAR CAREER ACADEMY - STAR PHILADELPHIA
26348;E01627;STAR CAREER ACADEMY - STAR NEWARK
26349;E01628;STAR CAREER ACADEMY - STAR LAKEWOOD
26350;E01629;OHIO CENTER FOR BROADCASTING - COLUMBUS
26351;E01630;STONE ACADEMY -  EAST HARTFORD
26352;E01632;MR. LEON'S SCHOOL OF HAIR DESIGN
26353;E01635;KAPLAN COLLEGE - SOUTHEAST INDIANAPOLIS
26354;E01645;ATI CAREER TRAINING CENTER - DALLAS (STE
26355;E01646;VATTEROTT COLLEGE - VATTEROTT CAREER COL
26356;E01647;SOUTHWEST FLORIDA COLLEGE - PORT CHARLOT
26357;E01648;COMPUTER CAREER CENTER - LUBBOCK CAMPUS
26358;E01649;RASMUSSEN COLLEGE - ROMEOVILLE
26359;E01652;SOUTHWEST FLORIDA COLLEGE - INSTITUTUE O
26360;E01653;SOUTH TEXAS VOCATIONAL TECHNICAL INSTITU
26361;E01654;CAREER ACADEMY OF HAIR DESIGN - ROGERS
26362;E01660;BROOKLINE COLLEGE - MESA
26363;E01661;BROOKLINE COLLEGE - TUCSON
26364;E01662;BROOKLINE COLLEGE - ALBUQUERQUE
26365;E01663;HARRISON COLLEGE - COLUMBUS, OH
26366;E01664;VIRGINIA COLLEGE - JACKSONVILLE
26367;E01670;RIDLEY - LOWELL BUSINESS & TECHNICAL INS
26368;E01671;GEORGETOWN UNIVERSITY - GRADUATE SCHOOL
26369;E01683;WICHITA TECHNICAL INSTITUTE - WTI TOPEKA
26370;E01684;WICHITA TECHNICAL INSTITUTE - WTI JOPLIN
26371;E01685;WTI TULSA CAMPUS
26372;E01686;WICHITA TECHNICAL INSTITUTE - EAST CAMPU
26373;E01688;SOUTHERN CAREERS INSTITUTE - BROWNSVILLE
26374;E01689;SOUTHERN CAREERS INSTITUTE - HARLINGEN
26375;E01694;MILLER - MOTTE TECHNICAL COLLEGE - MILLE
26376;E01697;ECPI UNIVERSITY - GREENVILLE
26377;E01698;ECPI UNIVERSITY - MANASSAS
26378;E01699;ECPI UNIVERSITY - CHARLESTON
26379;E01700;ECPI UNIVERSITY - RALEIGH
26380;E01701;ECPI UNIVERSITY - COLUMBIA
26381;E01702;ECPI UNIVERSITY - CONCORD
26382;E01703;ECPI UNIVERSITY - CULINARY INSTITUTE OF
26383;E01704;ECPI UNIVERSITY - VIRGINIA BEACH HEALTH
26384;E01705;ECPI UNIVERSITY - RICHMOND SOUTH
26385;E01706;ECPI UNIVERSITY - INNSBROOK
26386;E01707;ECPI UNIVERSITY - RICHMOND WEST
26387;E01710;CAMBRIA ROWE BUSINESS COLLEGE - INDIANA
26388;E01713;CAREER CARE INSTITUTE - VENTURA
26389;E01716;VATTEROTT COLLEGE -
